Code,Name,Message
V6001,FileOpen,Unable to open the specified file
V6002,ContainerRead,Unable to read bytecode container
V6003,SignalHandler,Failed to install signal handler
V6004,DumpCreate,Unable to create variable dump file
V6005,VarRead,Unable to read variable value
V6006,DumpWrite,Unable to write to variable dump file
V6007,LogConfig,Unable to configure the logger
V6008,LaunchNoProgram,Launch request did not specify a program container path
V6009,LaunchNoDebugInfo,Container was compiled without debug information
V6010,LaunchMultiInstance,Container declares multiple program instances
